SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
040,55,000,00000,00000,00000,0,A,Wisconsin,Wisconsin,5686986,5687285,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5833464,5832655
162,55,000,00100,00000,00000,0,A,Abbotsford city,Wisconsin,2310,2317,2315,2317,2291,2293,2281,2266,2262,2265,2269,2252,2230,2225
162,55,000,00275,00000,00000,0,A,Adams city,Wisconsin,1967,1972,1972,1951,1923,1918,1888,1878,1879,1870,1898,1899,1907,1905
162,55,000,00450,00000,00000,0,A,Adell village,Wisconsin,516,521,521,520,516,520,519,520,519,515,512,512,509,508
162,55,000,00750,00000,00000,0,A,Albany village,Wisconsin,1018,1018,1018,1014,1010,1012,1007,1006,998,999,993,990,980,977
162,55,000,01000,00000,00000,0,A,Algoma city,Wisconsin,3167,3172,3166,3145,3139,3104,3088,3074,3076,3059,3040,3051,3041,3038
162,55,000,01150,00000,00000,0,A,Allouez village,Wisconsin,13975,13979,13982,13957,13955,13942,13915,13882,13845,13898,13882,13863,13806,13784
162,55,000,01225,00000,00000,0,A,Alma city,Wisconsin,781,773,771,762,755,752,742,740,712,726,722,713,714,713
162,55,000,01300,00000,00000,0,A,Alma Center village,Wisconsin,503,503,503,505,501,501,498,495,493,492,490,494,492,491
162,55,000,01325,00000,00000,0,A,Almena village,Wisconsin,677,677,676,676,671,667,663,660,655,652,647,642,640,638
162,55,000,01400,00000,00000,0,A,Almond village,Wisconsin,448,449,449,447,445,444,443,440,437,434,434,433,429,428
162,55,000,01550,00000,00000,0,A,Altoona city,Wisconsin,6706,6708,6720,6792,6934,7080,7180,7337,7504,7672,7770,7860,8014,8062
162,55,000,01725,00000,00000,0,A,Amery city,Wisconsin,2902,2934,2930,2908,2890,2860,2860,2833,2836,2833,2809,2809,2800,2799
162,55,000,01750,00000,00000,0,A,Amherst village,Wisconsin,1035,1037,1038,1037,1039,1036,1044,1039,1045,1046,1049,1048,1075,1082
162,55,000,01800,00000,00000,0,A,Amherst Junction village,Wisconsin,377,377,377,376,375,372,371,370,370,380,377,384,390,392
162,55,000,02075,00000,00000,0,A,Aniwa village,Wisconsin,260,264,264,262,261,258,257,255,254,252,250,250,252,252
162,55,000,02250,00000,00000,0,A,Antigo city,Wisconsin,8234,8230,8218,8115,8020,7919,7841,7777,7783,7789,7806,7776,7741,7719
162,55,000,02375,00000,00000,0,A,Appleton city,Wisconsin,72623,72584,72616,72837,73047,73515,73929,74085,74336,74468,74358,74051,74082,74058
162,55,000,02500,00000,00000,0,A,Arcadia city,Wisconsin,2925,2948,2947,2950,2958,2974,2951,2992,3042,3036,3036,3034,3027,3026
162,55,000,02550,00000,00000,0,A,Arena village,Wisconsin,834,838,838,832,829,827,828,827,820,830,831,830,831,831
162,55,000,02650,00000,00000,0,A,Argyle village,Wisconsin,857,847,845,844,838,830,833,833,826,820,815,811,810,809
162,55,000,02800,00000,00000,0,A,Arlington village,Wisconsin,819,815,819,819,815,817,815,813,813,815,812,820,819,818
162,55,000,03025,00000,00000,0,A,Arpin village,Wisconsin,333,333,333,332,328,325,322,319,315,313,311,308,306,305
162,55,000,03225,00000,00000,0,A,Ashland city,Wisconsin,8216,8216,8207,8135,8021,8108,8111,8011,7896,7844,7873,7816,7789,7766
162,55,000,03425,00000,00000,0,A,Ashwaubenon village,Wisconsin,16963,16943,16963,16988,17083,17063,17052,17076,17147,17201,17187,17119,17032,17004
162,55,000,03550,00000,00000,0,A,Athens village,Wisconsin,1105,1095,1096,1093,1092,1090,1088,1084,1079,1081,1076,1077,1079,1079
162,55,000,03775,00000,00000,0,A,Auburndale village,Wisconsin,703,703,703,700,694,689,681,675,672,671,669,663,659,658
162,55,000,03825,00000,00000,0,A,Augusta city,Wisconsin,1550,1543,1544,1547,1549,1547,1534,1531,1519,1512,1526,1523,1518,1517
162,55,000,04025,00000,00000,0,A,Avoca village,Wisconsin,637,637,637,631,634,630,627,630,624,629,627,621,621,620
